country_code,country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,population
WLD,World,42034237,42034237,42034237,42001090,41922611,41844131,41765652,41687173,41608693,41530214,41459275,41407133,41354991,41302850,41250708,41198566,41180008,41128321,41076633,41024945,40973257,40928402,40883530,40838658,40793786,40748914,40716300,40647869,40599554,40548782,40499688,40449475,8005501715
AFG,Afghanistan,12084,12084,12084,12084,12084,12084,12084,12084,12084,12084,12084,12084,12084,12084,12084,12084,12084,12084,12084,12084,12084,12084,12084,12084,12084,12084,12084,12084,12084,12084,12084,12084,42239854
ALB,Albania,7888,7869,7849,7830,7810,7791,7771,7752,7732,7713,7693,7706,7719,7731,7744,7757,7770,7782,7795,7808,7821,7835,7849,7863,7878,7892,7892,7889,7889,7889,7889,7889,2832439
DZA,Algeria,16670,16582,16494,16406,16318,16230,16142,16054,15966,15878,15790,16129,16468,16807,17146,17485,17824,18163,18502,18841,19180,19256,19332,19408,19484,19560,19560,19430,19300,19390,19490,19583,45606480
ASM,American Samoa,181,180,180,180,179,179,179,178,178,178,177,177,177,176,176,176,176,175,175,175,174,174,174,173,173,173,173,172,172,172,171,171,43914
AND,Andorra,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,80088
AGO,Angola,792628,791074,789519,787965,786411,784857,783303,781749,780194,778640,777086,771535,765985,760434,754884,749333,743782,738232,732681,727131,721580,716029,710479,704928,699378,693827,688276,682726,677175,671624,666074,660523,36684202
ATG,Antigua and Barbuda,101,100,100,99,98,98,97,96,96,95,95,94,93,92,92,91,90,90,89,88,88,87,86,86,85,85,84,83,83,82,81,81,94298
ARG,Argentina,352040,350214,348388,346562,344736,342910,341084,339258,337432,335606,333780,330616,327452,324288,321124,317960,314796,311632,308468,305304,302140,299906,297672,295438,293204,290970,290100,288990,287910,286810,285730,284637,45773884
ARM,Armenia,3343,3343,3343,3341,3339,3337,3335,3333,3331,3328,3326,3324,3322,3320,3318,3316,3314,3312,3310,3308,3306,3304,3301,3299,3297,3295,3293,3291,3289,3287,3285,3283,2777970
ABW,Aruba,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,106277
AUS,Australia,1338822,1336754,1334686,1332618,1330550,1328482,1326413,1324345,1322277,1320209,1318141,1315873,1313605,1311337,1309069,1306801,1304533,1302265,1299997,1297729,1295461,1302558,1309655,1316751,1323848,1330945,1340372,1340174,1340051,1340051,1340051,1340051,26439111
AUT,Austria,37757,37819,37882,37944,38007,38069,38132,38194,38256,38319,38381,38406,38432,38457,38482,38507,38532,38557,38582,38607,38632,38668,38704,38740,38776,38812,38848,38884,38920,38956,38992,39027,8958960
AZE,Azerbaijan,9532,9532,9532,9575,9617,9660,9702,9745,9787,9830,9872,9917,9963,10008,10053,10099,10144,10189,10234,10280,10325,10416,10507,10597,10688,10779,10875,10972,11087,11202,11318,11433,10412651
BHS,Bahamas,5099,5099,5099,5099,5099,5099,5099,5099,5099,5099,5099,5099,5099,5099,5099,5099,5099,5099,5099,5099,5099,5099,5099,5099,5099,5099,5099,5099,5099,5099,5099,5099,412623
BHR,Bahrain,2,2,3,3,3,3,3,3,3,4,4,4,4,4,4,4,5,5,5,5,5,5,6,6,6,6,6,6,7,7,7,7,1485509
BGD,Bangladesh,19203,19203,19203,19203,19203,19203,19203,19203,19203,19203,19203,19171,19139,19107,19075,19043,19011,18979,18947,18915,18883,18874,18864,18854,18844,18834,18834,18834,18834,18834,18834,18834,172954319
BRB,Barbados,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,281995
BLR,Belarus,78786,78786,78786,79279,79772,80265,80758,81251,81744,82237,82730,83087,83444,83801,84158,84515,84872,85229,85586,85943,86300,86307,86314,86321,86328,86335,87096,87241,87386,87531,87676,87821,9498238
BEL,Belgium,6673,6673,6673,6673,6673,6673,6673,6673,6673,6673,6673,6696,6718,6741,6763,6786,6808,6831,6854,6876,6899,6898,6896,6895,6894,6893,6893,6893,6893,6893,6893,6893,11686140
BLZ,Belize,16000,15860,15719,15578,15437,15297,15156,15015,14874,14734,14593,14525,14457,14389,14321,14253,14186,14118,14050,13982,13914,13797,13680,13563,13445,13328,13217,13105,12994,12882,12771,12659,410825
BEN,Benin,48352,47652,46952,46252,45552,44852,44152,43452,42752,42052,41352,40852,40352,39852,39352,38852,38352,37852,37352,36852,36352,35852,35352,34852,34352,33852,33352,32852,32352,31852,31352,30852,13712828
BMU,Bermuda,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,64069
BTN,Bhutan,25067,25166,25266,25365,25464,25564,25663,25762,25861,25961,26060,26159,26259,26358,26457,26556,26656,26755,26854,26954,27053,27073,27092,27112,27132,27152,27172,27191,27211,27231,27251,27271,787424
BOL,Bolivia,578047,575344,572641,569937,567234,564531,561827,559124,556421,553717,551014,548999,546983,544968,542952,540937,538922,536906,534891,532875,530860,528743,526625,524507,522390,520272,517507,514922,512532,510338,508338,506208,12388571
BIH,Bosnia and Herzegovina,21903,21903,21903,21805,21707,21608,21510,21412,21313,21215,21117,21108,21099,21090,21081,21072,21063,21054,21045,21036,21027,21142,21258,21374,21489,21605,21765,21879,21879,21879,21879,21879,3210847
BWA,Botswana,188037,186854,185671,184488,183305,182122,180939,179756,178573,177390,176207,175024,173841,172658,171475,170292,169109,167926,166743,165560,164377,163194,162011,160828,159645,158462,157279,156096,154913,153730,152547,151364,2675352
BRA,Brazil,5888980,5851171,5813361,5775552,5737742,5699933,5662124,5624314,5586505,5548695,5510886,5471378,5431870,5392362,5352854,5313347,5273839,5234331,5194823,5155315,5115807,5100415,5085023,5069632,5054240,5038848,5020821,5000916,4990514,4977985,4966196,4953914,216422446
VGB,British Virgin Islands,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,31538
BRN,Brunei,4130,4114,4098,4082,4066,4050,4034,4018,4002,3986,3970,3953,3936,3919,3902,3885,3868,3851,3834,3817,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,452524
BGR,Bulgaria,33270,33318,33366,33414,33462,33510,33558,33606,33654,33702,33750,34112,34474,34836,35198,35560,35922,36284,36646,37008,37370,37562,37754,37946,38138,38330,38410,38540,38670,38800,38930,39060,6687717
BFA,Burkina Faso,77166,76666,76166,75666,75166,74666,74165,73665,73165,72665,72165,71665,71165,70665,70165,69665,69165,68665,68165,67665,67165,66665,66165,65664,65164,64664,64164,63664,63164,62664,62164,61664,23251485
BDI,Burundi,2765,2682,2600,2517,2435,2352,2270,2187,2104,2022,1939,1939,1939,1939,1939,1939,1939,1939,1939,1939,1939,2111,2282,2454,2625,2796,2796,2796,2796,2796,2796,2796,13238559
CPV,Cape Verde,154,178,202,227,251,276,300,324,349,373,397,400,403,406,409,412,415,418,421,424,427,430,433,436,439,442,445,448,451,454,457,460,598682
